row_number(),Pests,Pests_Key,Pests_Sub_Key,Sci_Name,Res_MOA_Group
840,STORK?S BILL,STORKS BILL,STORKS BILL,ERODIUM CICUTARIUM,
841,LAMBS-QUARTER,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
842,VOLUNTEER NON-TRIAZINE TOLERANT CANOLA,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
843,KOCHIA INCLUDING ALS RESISTANT BIOTYPES,KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
844,BLACK NIGHTSHADE SOLANUM NIGRUM INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,BLACK NIGHTSHADE,BLACK NIGHTSHADE,SOLANUM NIGRUM,
845, GROUP 5: PHOTOSYSTEM II INHIBITORS,NA,NA,,
846, GROUP 9: EPSP SYNTHASE INHIBITORS,NA,NA,,
847,COMMON LAMBS QUARTERS CHENOPODIUM ALBUM INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,
848,COMMON WATERHEMP AMARANTHUS TAMARISCINUS INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,AMARANTH,COMMON WATERHEMP,AMARANTHUS TAMARISCINUS,
849,FALSE CLEAVERS (GALIUM SPRUIUM),CLEAVERS,FALSE CLEAVERS,GALIUM SPRUIUM,"2,2+4"
850,FALSE CLEAVERS (GALIUM SPRUIUM) INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,CLEAVERS,FALSE CLEAVERS,GALIUM SPRUIUM,"2,2+4"
851,KOCHIA BASSIA SCOPARIA INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
852,REDROOT PIGWEED AMARANTHUS RETROFLEXUS INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
853,VOLUNTEER CANOLA BRASSICA RAPA INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
854,WILD MUSTARD SINAPIS ARVENSIS INCLUDING RESISTANT BIOTYPES GROUP 2: ALS INHIBITORS,WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
855,ABIENTINELLA ABIETINA FIR TAMARISK-MOSS,MOSS,FIR TAMARISK-MOSS,ABIETINELLA ABIETINA,
856,AMARANTHUS RETROFLEXUS COMMON AMARANTH,AMARANTH,COMMON AMARANTH,AMARANTHUS RETROFLEXUS,"2,5,6"
857,ANAGALLIS ARVENSIS CARE-ALL,RED CHICKWEED,RED CHICKWEED,ANAGALLIS ARVENSIS,
858,APHANES ARVENSIS PARSLEY PIERT,PARSLEY,PARSLEY PIERT,APHANES ARVENSIS,
859,BARLEY DESICCATION,BARLEY,BARLEY,HORDEUM VULGARE,
860,BROMUS ERECTUS UPRIGHT BROMEGRASS,BROME,UPRIGHT BROME GRASS,BROMUS ERECTUS,
861,BROMUS SP. BROMEGRASS,BROME,BROME GRASS,BROMUS SPP.,
862,BRYOPHYTA MOSSES,MOSS,MOSS,BRYOPHYTA,
863,BUNIAS ORIENTALIS HILL MUSTARD,HILL MUSTARD,HILL MUSTARD,BUNIAS ORIENTALIS,
864,CALENDULA OFFICINALIS MARIGOLD,MARIGOLD,POT MARIGOLD,CALENDULA OFFICINALIS,
865,CAPSELLA BURSA-PASTORIS SHEPHERDS PURSE,SHEPHERD'S PURSE,SHEPHERD'S PURSE,CAPSELLA BURSA-PASTORIS,2
866,CARDAMINE FLEXUOSA FLEXUOUS BITTERCRESS,BITTERCRESS,WAVY BITTERCRESS,CARDAMINE FLEXUOSA,
867,CERASTIUM FONTANUM MOUSE-EAR CHICKWEED,MOUSE-EARED CHICKWEED,MOUSE-EARED CHICKWEED,CERASTIUM FONTANUM,
868,CERASTIUM GLOMERATUM STICKY CHICKWEED,STICKY CHICKWEED,STICKY CHICKWEED,CERASTIUM GLOMERATUM,
869,CERATODON PURPUREUS CERATODON PURPUREUS,MOSS,CERATODON MOSS,CERATODON PURPUREUS,
870,CHAENORHINUM MINUS DWARF SNAPDRAGON,SNAPDRAGON,DWARF SNAPDRAGON,CHAENORHINUM MINUS,
871,CHAMERION ANGUSTIFOLIUM FIREWEED OR ROSEBAY WILLOWHERB,FIREWEED,FIREWEED,CHAMAENERION ANGUSTIFOLIUM,
872,CHENOPODIUM ALBUM COMMON LAMBSQUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,
873,CHENOPODIUM HYBRIDUM MAPLELEAF GOOSEFOOT,GOOSEFOOT,MAPLELEAF GOOSEFOOT,CHENOPODIUM HYBRIDUM,
874,CONVOLVULUS ARVENSIS FIELD BINDWEED,BINDWEED,FIELD BINDWEED,CONVOLVULUS ARVENSIS,
875,CONYZA CANADENSIS CANADA HORSEWEED,CANADA HORSEWEED,CANADA HORSEWEED,ERIGERON CANADENSIS,"2,9,22,2+9"
876,CYNODON DACTYLON BERMUDAGRASS,BERMUDAGRASS,BERMUDAGRASS,CYNODON DACTYLON,
877,DIGITARIA ISCHAEMUM SMOOTH CRABGRASS,CRABGRASS,SMOOTH CRABGRASS,DIGITARIA ISCHAEMUM,
878,DIPOTAXIS TENUIFOLIA WALL ROCKET,WALL ROCKET,WALL ROCKET,DIPOTAXIS TENUIFOLIA,
879,ECHINOCHLOA CRUS-GALLI COCKSPUR,COCKSPUR,COCKSPUR,ECHINOCHLOA CRUSGALLI,5
880,EPILOBIUM PARVIFLORUM HOARY WILLOWHERB,WILLOWHERB,HOARY WILLOWHERB,EPILOBIUM PARVIFLORUM,
881,EPILOBIUM SP. WILLOWHERB,WILLOWHERB,WILLOWHERB,EPILOBIUM SPP.,
882,EUPHORBIA HELIOSCOPIA SUN SPURGE,SPURGE,SUN SPURGE,EUPHORBIA HELIOSCOPIA,
883,FESTUCA PRATENSIS MEADOW FESCUE,FESCUE,MEADOW FESCUE,FESTUCA PRATENSIS,
884,FESTUCA SP. FESCUE,FESCUE,FESCUE,FESCUE SPP.,
885,GALINSOGA PARVIFLORA SMALL FLOWER GALINSOGA,GALINSOGA,SMALL FLOWER GALINSOGA,GALINSOGA PARVIFLORA,
886,GERANIUM DISSECTUM CUT-LEAVED CRANESBILL,GERANIUM,CUTLEAF GERANIUM,GERANIUM DISSECTUM,
887,GERANIUM PUSILLUM SMALL GERANIUM,GERANIUM,SMALL GERANIUM,GERANIUM PUSILLUM,
888,GERANIUM ROTUNDIFOLIUM ROUND-LEAVED CRANESBILL,GERANIUM,ROUNDLEAF GERANIUM,GERANIUM ROTUNDIFOLIUM,
889,GERANIUM SP. CRANESBILL,GERANIUM,CRANESBILL,GERANIUM SPP.,
890,HOLCUS LANATUS YORKSHIRE FOG,YORKSHIRE FOG,YORKSHIRE FOG,HOLCUS LANATUS,
891,HYPERICUM PERFORATUM COMMON ST. JOHNSWORT,ST. JOHNSWORT,ST. JOHNSWORT,HYPERICUM PERFORATUM,
892,HYPERICUM SP. ST. JOHNSWORT,ST. JOHNSWORT,ST. JOHNSWORT,HYPERICUM PERFORATUM,
893,LAMIUM AMPLEXICAULE HENBIT,HENBIT,HENBIT,LAMIUM AMPLEXICAULE,
894,LAMIUM PURPUREUM PURPLE DEADNETTLE,PURPLE DEADNETTLE,PURPLE DEADNETTLE,LAMIUM PURPUREUM,
895,LOLIUM PERENNE PERENNIAL RYEGRASS,RYE GRASS,PERENNIAL RYE GRASS,LOLIUM PERENNE,9
896,MATRICARIA RECUTITA WILD CHAMOMILE,CHAMOMILE,WILD CHAMOMILE,MATRICARIA RECUTITA,
897,MATRICARIA SP. MAYWEED,MAYWEED,MAYWEED,MATRICARIA SPP.,
898,MEDICAGO LUPULINA BLACK MEDIC,BLACK MEDICK,BLACK MEDICK,MEDICAGO LUPULINA,
899,MERCURIALIS ANNUA COMMON MERCURY,COMMON MERCURY,COMMON MERCURY,MERCURIALIS ANNUA,
900,MOSSES,MOSS,MOSS,BRYOPHYTA,
901,MYOSOTIS ARVENSIS FORGET-ME-NOT,FORGET ME NOT,FIELD FORGET ME NOT,MYOSOTIS ARVENSIS,
902,OATS DESICCATION,OAT,OAT,AVENA SATIVA,
903,PANICUM DICHOTOMIFLORUM SMOOTH WITCHGRASS,SMOOTH WITCHGRASS,SMOOTH WITCHGRASS,PANICUM DICHOTOMIFLORUM,
904,PICRIS ECHIOIDES BRISTLY OXTONGUE,OXTONGUE,BRISTLY OXTONGUE,PICRIS ECHIOIDES,
905,PICRIS HIERACIOIDES HAWKWEED OXTONGUE,HAWKWEED OXTONGUE,HAWKWEED OXTONGUE,PICRIS HIERACIOIDES,
906,PLANTAGO CORONOPUS BUCKS HORN PLANTAIN,PLANTAIN,BUCKS HORN PLANTAIN,PLANTAGO CORONOPUS,
907,PLANTAGO LANCEOLATA RIBWORT/NARROWLEAF PLANTAIN,PLANTAIN,RIBWORT PLANTAIN,PLANTAGO LANCEOLATA,
908,PLANTAGO SP. PLANTAIN,PLANTAIN,PLANTAIN,PLANTAGO SPP.,
909,POA ANNUA ANNUAL MEADOWGRASS,MEADOWGRASS,ANNUAL MEADOWGRASS,POA ANNUA,
910,POA SP. BLUEGRASS,BLUEGRASS,BLUEGRASS,POA SPP.,
911,POLYGONUM AVICULARE KNOTGRASS OR PROSTRATE KNOTWEED,KNOTWEED,PROSTRATE KNOTWEED,POLYGONUM AVICULARE,
912,PORTULACA OLERACEA COMMON PURSLANE,PURSLANE,COMMON PURSLANE,PORTULACA OLERACEA,
913,POTATO DESICCATION,POTATO,POTATO,SOLANUM TUBEROSUM,
914,RUBUS FRUTICOSUS BRAMBLE,BRAMBLE,BRAMBLE,RUBUS FRUTICOSUS,
915,SAGINA PROCUMBENS PROCUMBEN,PROCUMBENT PEARLWORT,PROCUMBENT PEARLWORT,SAGINA PROCUMBENS,
916,CHAMERION ANGUSTIFOLIUM FIREWEED OR ROSEBAY,FIREWEED,FIREWEED,CHAMAENERION ANGUSTIFOLIUM,
917,SAGINA PROCUMBENS PROCUMBENT PEARLWORT,PROCUMBENT PEARLWORT,PROCUMBENT PEARLWORT,SAGINA PROCUMBENS,
918,GREEN FOXTAIL (WILD MILLET),FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
919,CLEAVERS (INCLUDING GROUP 2 RESISTANT BIOTYPES),CLEAVERS,CLEAVERS,GALIUM APARINE L.,
920,KOCHIA (INCLUDING GROUP 2 RESISTANT BIOTYPES),KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
921,LENTILS (INCLUDING CLEARFIELD LENTILS),LENTIL,LENTIL,VICIA LENS,
922,"SOWTHISTLE, PERENNIAL",SOW THISTLE,PERENNIAL SOW THISTLE,SONCHUS ARVENSIS,
923,TANK MIX VOLUNTEER GLYPHOSATE TOLERANT CANOLA,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
924,VOLUNTEER CANOLA (CLEARFIELD AND NON-CLEARFIELD TOLERANT CANOLA),CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
925,WILD MUSTARD (INCLUDING GROUP 2 RESISTANT),WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
926,BIRD RAPE 2.5 - 5.5 CM INCLUDING TRIAZINE RESISTANT STRAINS,BIRD RAPE,BIRD RAPE,BRASSICA RAPA,"5,9"
927,BIRD RAPE 5 - 10 CM INCLUDING TRIAZINE RESISTANT STRAINS,BIRD RAPE,BIRD RAPE,BRASSICA RAPA,"5,9"
928,BUTTERCUP 5 - 10 CM,BUTTERCUP,BUTTERCUP,RANUNCULUS SPP.,
929,CANADA THISTLE 15 -20 CM HEIGHT,THISTLE,CANADA THISTLE,CIRSIUM ARVENSE,
930,CLEAVERS 4 - 8 CM,CLEAVERS,CLEAVERS,GALIUM APARINE L.,
931,COCKLEBUR 17 - 30 CM,COCKLEBUR,COMMON COCKLEBUR,XANTHIUM STRUMARIUM L.,
932,COCKLEBUR 7.5 -17.5 CM HEIGHT,COCKLEBUR,COMMON COCKLEBUR,XANTHIUM STRUMARIUM L.,
933,COMMON CHICKWEED 1-3 WEEKS AFTER EMERGENCE,CHICKWEED,COMMON CHICKWEED,STELLARIA MEDIA,2
934,COMMON GROUNDSEL 5 - 10 CM INCLUDING TRIAZINE RESISTANT STRAINS,GROUNDSEL,COMMON GROUNDSEL,SENECIO VULGARIS,5
935,COMMON RAGWEED 2 - 5 CM INCLUDING TRIAZINE RESISTANT STRAINS,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
936,CORN SPURRY 2 - 10 CM,CORN SPURRY,CORN SPURRY,SPERGULA ARVENSIS,
937,FIELD BINDWEED 3 - 6 CM HEIGHT,BINDWEED,FIELD BINDWEED,CONVOLVULUS ARVENSIS,
938,FLOWER-OF-AN HOUR 5 - 10 CM,FLOWER OF AN HOUR,FLOWER OF AN HOUR,HIBISCUS TRIONUM,
939,FLOWER-OF-AN-HOUR 2.5 - 5.5 CM HEIGHT,FLOWER OF AN HOUR,FLOWER OF AN HOUR,HIBISCUS TRIONUM,
940,GIANT RAGWEED 5 - 15 CM,RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
941,HAIRY GALINSOGA 5 - 8 CM,GALINSOGA,HAIRY GALINSOGA,GALINSOGA QUADRIRADIATA,
942,HAIRY NIGHTSHADE 1 - 2 CM,NIGHTSHADE,HAIRY NIGHTSHADE,SOLANUM SARACHOIDES,
943,JIMSONWEED 5 - 15 CM,JIMSONWEED,JIMSONWEED,DATURA STRAMONIUM,
944,LADY'S-THUMB (SMARTWEED) 2.5 -7.5 CM HEIGHT,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
945,LADY'S-THUMB (SMARTWEED) 7 - 20 CM,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
946,LAMBS-QUARTERS 1 - 3 CM INCLUDING TRIAZINE RESISTANT STRAINS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
947,LOW CUDWEED 2 - 5 CM,CUDWEED,LOW CUDWEED,GNAPHALIUM ULIGINOSUM,
948,PURSLANE 2 - 5 CM,PURSLANE,COMMON PURSLANE,PORTULACA OLERACEA,
949,REDROOT PIGWEED 1 - 4 CM INCLUDING TRIAZINE RESISTANT STRAINS,AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
950,RUSSIAN THISTLE 2 - 8 CM,RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
951,SHEPHERD'S-PURSE ROSETTE - 10 CM HEIGHT,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
952,SHEPHERDS-PURSE 10 - 25 CM,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
953,STINKWEED 5 - 15 CM,FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
954,STINKWEED ROSETTE - 5 CM HEIGHT,FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
955,STORKS BILL 4 - 10 CM,STORKS BILL,STORKS BILL,ERODIUM CICUTARIUM,
956,VELVETLEAF 5 - 10 CM HEIGHT,VELVETLEAF,VELVETLEAF,ABUTILON THEOPHRASTI,
957,VOLUNTEER CANOLA 2 - 15 CM,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
958,VOLUNTEER CANOLA 2 -15 CM HEIGHT,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
959,WILD MUSTARD 12 - 25 CM,WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
960,WILD MUSTARD 2.5 -12.5 CM HEIGHT,WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
961,WILD RADISH 2 - 5 CM,WILD RADISH,WILD RADISH,RAPHANUS RAPHANISTRUM,
962,YELLOW NUTSEDGE 15 -20 CM HEIGHT,NUTSEDGE,YELLOW NUTSEDGE,CYPERUS ESCULENTUS,
963,FIELD PENNYCRESS (THLASPI ARVENSE),FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
964,FRENCHWEED (THLASPI ARVENSE),FIELD PENNYCRESS,FRENCHWEED,THLASPI ARVENSE,2
965,GOOSEFOOT (CHENOPODIUM SPP.),GOOSEFOOT,GOOSEFOOT,CHENOPODIUM SPP.,
966,LAMB?S-QUARTERS (CHENOPODIUM ALBUM),LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
967,MUSTARD (BRASSICA SPP./SISYMBRIUM SPP.),MUSTARD,MUSTARD,BRASSICA SPP.,
968,NIGHTSHADE (SOLANUM SPP.),NIGHTSHADE,NIGHTSHADE,SOLANUM SPP.,
969,PIGEON GRASS (SETARIA GLAUCA),FOXTAIL,YELLOW FOXTAIL,SETARIA GLAUCA,
970,PIGWEED (AMARANTHUS SPP.),AMARANTH,PIGWEED,AMARANTHUS SPP.,"2,5,14,2+4,2+5"
971,RAGWEED (AMBROSIA SPP.),RAGWEED,RAGWEED,AMBROSIA SPP.,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
972,STINKWEED (THLASPI ARVENSE),FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
973,WILD BUCKWHEAT (POLYGONUM CONVOLVULUS),BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
974,WILD MILLET (SETARIA VIRIDIS),FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
975,YELLOW FOXTAIL (SETARIA GLAUCA),FOXTAIL,YELLOW FOXTAIL,SETARIA GLAUCA,
976,ANNUAL BLUEGRASS,BLUEGRASS,ANNUAL BLUE GRASS,POA ANNUA,
977,HAIRY CRABGRASS,CRABGRASS,HAIRY CRABGRASS,DIGITARIA SANGUINALIS,
978,"CANADA FLEABANE (CONZYA CANADENSIS), INCLUDING BIOTYPES RESISTANT TO GROUPS 2, 5 AND 0",FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
979,CARPETWEED (MILLUGO VERTICILLATA L.)  PREEMERGENCE ONLY,CARPETWEED,CARPETWEED,MILLUGO VERTICILLATA L.,
980,CHEAT GRASS (BROMUS TECTORUM),BROME,CHEAT GRASS,BROMUS TECTORUM,9
981,CLEAVERS (GALIUM APARINE L.),CLEAVERS,CLEAVERS,GALIUM APARINE L.,
982,COCKLEBUR (XANTHIUM STRUMARIUM L.),COCKLEBUR,COMMON COCKLEBUR,XANTHIUM STRUMARIUM L.,
983,COMMON CHICKWEED (STELLARIA MEDIA),CHICKWEED,COMMON CHICKWEED,STELLARIA MEDIA,2
984,"COMMON LAMBS-QUARTERS (CHENOPODIUM ALBUM), INCLUDING BIOTYPES RESISTANT TO GROUPS 2 AND 5",LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,
985,"COMMON RAGWEED (AMBROSIA ARTEMISIIFOLIA), INCLUDING BIOTYPES RESISTANT TO GROUPS 2, 5 AND 9",RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
986,"COMMON WATERHEMP, INCLUDING BIOTYPES RESISTANT TO GROUPS 2, 5 AND 9",AMARANTH,COMMON WATERHEMP,AMARANTHUS TAMARISCINUS,
987,"EASTERN BLACK NIGHTSHADE (SOLANUM PTYCANTHUM), INCLUDING BIOTYPES RESISTANT TO GROUP 2 AND 22",NIGHTSHADE,EASTERN BLACK NIGHTSHADE,SOLANUM PTYCANTHUM,
988,GIANT FOXTAIL (SETARIA FABERI HERRM.),FOXTAIL,GIANT FOXTAIL,SETARIA FABERI,2
989,GREEN PIGWEED (AMARANTHUS POWELLII),AMARANTH,GREEN PIGWEED,AMARANTHUS POWELLII,"2,5,14,2+4,2+5"
990,GREEN SMARTWEED (POLYGONUM SCABRUM M.),SMARTWEED,GREEN SMARTWEED,PERSICARIA LAPATHIFOLIA,2
991,HAIRY NIGHTSHADE (SOLANUM SARACHOIDES),NIGHTSHADE,HAIRY NIGHTSHADE,SOLANUM SARACHOIDES,
992,JIMSONWEED (DATURA STRAMONIUM L.)  PREEMERGENCE ONLY,JIMSONWEED,JIMSONWEED,DATURA STRAMONIUM,
993,JOHNSON GRASS (SEEDLING) (SORGHUM HALEPENSE L.),JOHNSON GRASS,JOHNSON GRASS,SORGHUM HALEPENSE,
994,"KOCHIA (KOCHIA SCOPARIA), INCLUDING BIOTYPES RESISTANT TO GROUPS 2, 4 AND 9",KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
995,LADYS-THUMB (POLYGONUM PERSICARIA L.),SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
996,LARGE CRAB GRASS (DIGITARIA SANGUINALIS L.),CRABGRASS,LARGE CRAB GRASS,DIGITARIA SANGUINALIS,1
997,PALMER AMARANTH (AMARANTHUS PALMERI),AMARANTH,PALMER AMARANTH,AMARANTHUS PALMERI,
998,PRICKLY MALLOW (SIDA SPINOSE) POSTEMERGENCE ONLY,PRICKLY MALLOW,PRICKLY MALLOW,SIDA SPINOSA,
999,PROSTRATE PIGWEED (AMARANTHUS BLITOIDES),AMARANTH,PROSTRATE PIGWEED,AMARANTHUS BLITOIDES,
1000,"REDROOT PIGWEED (AMARANTHUS RETROFLEXUS), INCLUDING BIOTYPES RESISTANT TO GROUPS 2 AND 5",AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1001,RUSSIAN THISTLE (SALSOLA KALI L.),RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
1002,SHEPHERDS PURSE (CAPSELLA BURSA-PASTORIS),SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
1003,VELVETLEAF (ABUTILON THEOPHRASTI MEDIK.),VELVETLEAF,VELVETLEAF,ABUTILON THEOPHRASTI,
1004,"VOLUNTEER CANOLA (BRASSICA NAPUS), INCLUDING GLYPHOSATE, GLUFOSINATE AMMONIUM, AND IMIDAZOLINONE TOLERANT VARIETIES.",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1005,WILD BUCKWHEAT (POLVGONUM CONVOLVULUS L.),BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
1006,WILD MUSTARD (SINAPIS ARVENSIS L.),WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
1007,WILD POTATO VINE,WILD POTATO VINE,WILD POTATO VINE,IPOMOEA PANDURATA,
1008,WITCH GRASS (PANICUM CAPILLARE L.),WITCHGRASS,WITCHGRASS,PANICUM CAPILLARE,5
1009,YELLOW FOXTAIL (SETARIA GALCUA),FOXTAIL,YELLOW FOXTAIL,SETARIA GLAUCA,
1010,YELLOW WOODSORREL (OXALIS DILLENII JACQ.),WOOD SORREL,COMMON YELLOW WOOD SORREL,OXALIS STRICTA,
1011,ROOTS,ROOTS,ROOTS,,
1012,ANNUAL BROADLEAVED WEEDS LARGER THAN 15 CM IN HEIGHT,ANNUAL BROADLEAF WEEDS,ANNUAL BROADLEAF WEEDS,,
1013,ANNUAL GRASS WEEDS LESS THAN 15 CM IN HEIGHT,ANNUAL GRASS WEEDS,ANNUAL GRASS,,
1014,EDGING / FOLIAR TRIMMING,NA,NA,,
1015,LARGER ANNUAL GRASS WEEDS (ESPECIALLY WHEN THE PLANTS HAVE LIGNIFIED),ANNUAL GRASS WEEDS,ANNUAL GRASS WEEDS,,
1016,LARGER PERENNIAL WEEDS (ESPECIALLY WHEN THE PLANTS HAVE LIGNIFIED),PERENNIAL WEEDS,PERENNIAL WEEDS,,
1017,PERENNIAL HERBACEOUS BROADLEAVED PLANTS LESS THAN 15 CM IN HEIGHT,BROADLEAF WEEDS,BROADLEAF WEEDS,,
1018,"SMALL, ACTIVELY GROWING ANNUAL BROADLEAVED WEEDS LESS THAN 15 CM IN HEIGHT",BROADLEAF WEEDS,BROADLEAF WEEDS,,
1019,VEGETATIVE BURNDOWN,NA,NA,,
1020,BROADLEAF PLANTAIN,PLANTAIN,BROAD-LEAVED PLANTAIN,PLANTAGO MAJOR,
1021,CANADA FLEABANE (INCLUDING GLYPHOSATERESISTANT BIOTYPES),FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
1022,CLEAVERS (INCLUDING GLYPHOSATERESISTANT BIOTYPES),CLEAVERS,CLEAVERS,GALIUM APARINE L.,
1023,COMMON RAGWEEDS (INCLUDING GROUP 2 AND GLYPHOSATERESISTANT BIOTYPES),RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1024,KOCHIA (INCLUDING GROUP 2 AND GLYPHOSATERESISTANT BIOTYPES),KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
1025,LAMB'SQUARTERS (INCLUDING GROUP 2 & 5 RESISTANT BIOTYPES),LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
1026,"NARROWLEAVED HAWKSBEARD (IN FALL, AND AT THE 1 TO 2LEAF STAGE IN SPRING)",HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
1027,NIGHTFLOWERING CATCHFLY,NIGHT FLOWERING CATCHFLY,NIGHT FLOWERING CATCHFLY,SILENE NOCTIFLORA,
1028,POWELLS AMARANTH,AMARANTH,GREEN PIGWEED,AMARANTHUS POWELLII,"2,5,14,2+4,2+5"
1029,REDROOT PIGWEED (INCLUDING GROUP 2 & 5 RESISTANT BIOTYPES),AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
1030,SHEPHERDSPURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
1031,"VOLUNTEER CANOLA (INCLUDING GLYPHOSATE, GLUFOSINATE AMMONIUM, AND IMIDAZOLINONERESISTANT BIOTYPES)",CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
1032,BLUEBUR (BEFORE THE 4LEAF STAGE),BLUEBUR,BLUEBUR,LAPPULA SQUARROSA,
1033,BURDOCK (BEFORE THE 4LEAF STAGE),BURDOCK,BURDOCK,ARCTIUM LAPPA,
1034,COMMON DANDELION,DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
1035,MALLOW,MALLOW,MALLOW,MALVA SPP.,
1036,RAGWEEDS (INCLUDING GROUP 2 AND GLYPHOSATERESISTANT BIOTYPES),RAGWEED,RAGWEED,AMBROSIA SPP.,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
1037,RUSSIANTHISTLE,RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
1038,SWEET CLOVER (SEEDLING),SWEET CLOVER,SWEET CLOVER,MELILOTUS SPP.,
1039,THYMELEAVED SPURGE,SPURGE,THYMELEAVED SPURGE,EUPHORBIA SERPILLIFOLIA,
