row_number(),Sites of Use,Crop_Name
739, DIRECT SEEDED),
740,GLUFOSINATE AMMONIUM TOLERANT CANOLA LINES OR VARIETIES,CANOLA
741,GLUFOSINATE AMMONIUM TOLERANT CORN,CORN
742,GRAPES (ESTABLISHED VINEYARDS),
743,LETTUCE (STALE SEEDBED),
744,ONIONS (STALE SEEDBED),
745,PEARS (ESTABLISHED ORCHARDS),
746,PLUMS (ESTABLISHED ORCHARDS),
747,RASPBERRY (ESTABLISHED),
748,CLEARFIELD CANOLA (E.G.,CANOLA
749, CANOLA VARIETIES WITH THE CLEARFIELD TRAIT),CANOLA
750,CLEARFIELD CANOLA QUALITY BRASSICA JUNCEA (E.G.,CANOLA
751, CANOLA QUALITY BRASSICA JUNCEA VARIETIES WITH THE CLEARFIELD TRAIT),CANOLA
752,BALSAM FIR,
753,FRASER FIR,
754,NON-LISTED CONIFER SPECIES ESTABLISHED FOR FIELD PRODUCTION,
755,ONIONS DRY BULB,
756,PLUG (SMALL CONTAINERS LESS THAN 500 ML) CONIFER SEEDLINGS,
757,PLUG (SMALL CONTAINERS LESS THAN 500 ML) GROWN CONIFER SEEDLINGS,
758,POPULUS SPECIES (POPLARS / ASPENS) AND THEIR HYBRIDS,
759,SEEDLINGS / ESTABLISHED / TRANSPLANTED,
760,STANDARD CONTAINERS (500 ML OR LARGER) CONIFER SEEDLINGS,
761,WHITE PINE,
762,WHITE SPRUCE,
763,BATTERY STATIONS,
764,COMPRESSOR STATIONS,
765,FORESTRY SITE PREPARATION,
766,HYDRO RIGHTS-OF-WAY,
767,NON-GRAZE AREAS,
768,RAIL RIGHTS-OF-WAY,
769,RAILROAD BALLAST,
770,STATIONS ASSOCIATED WITH PIPELINE RIGHTS-OF-WAY,
771,VALVE STATIONS,
772,WELL SITES,
773,BLACK SPRUCE PICEA MARIANA SEEDLINGS,
774,JACK PINE PINUS BANKSIANA SEEDLINGS,
775,LARCH LARIX SPP. SEEDLINGS,
776,LODGEPOLE PINE PINUS CONTORTA SEEDLINGS,
777,NATURALIZED AREAS,
778,NON-CROP AREAS (HYDRO RIGHTS-OF-WAY),
779,NON-CROP AREAS (PIPELINES),
780,NON-CROP AREAS (ROADSIDE),
781,PITCH PINE PINUS RIGIDA SEEDLINGS,
782,PROVINCIAL OR FEDERAL LANDS,
783,PROVINCIAL OR FEDERAL PARKS,
784,RED SPRUCE PICEA RUBENS SEEDLINGS,
785,ROAD RIGHTS-OF-WAY,
786,WHITE PINE PINUS STROBUS SEEDLINGS,
787,WHITE SPRUCE PICEA GLAUCA SEEDLINGS,
788,MILITARY TRAINING AREAS,
789,CROP GROUP 11-09: POME FRUITS,
790,CROP SUBGROUP 13-07F: SMALL FRUIT VINE CLIMBING SUBGROUP,
791, EXCEPT FUZZY KIWIFRUIT,
792,ESTABLISHED ALSIKE CLOVER,
793,ESTABLISHED BIRDSFOOT TREFOIL,
794,ESTABLISHED CICER MILKVETCH,
795,ESTABLISHED SAINFOIN,
796,ESTABLISHED SWEET CLOVER,
797,SEED CORN CONTAINING THE ENLIST,CORN
798,SUNFLOWERS (2-8 LEAF),
799,TRIBENURON-METHYL TOLERANT SUNFLOWERS (2-8 LEAF STAGE),
800,ESTABLISHED FORAGE GRASSES GROWN FOR SEED,
801,ESTABLISHED TALL FESCUE GROWN FOR SEED,
802,SEEDLING FORAGE GRASSES GROWN FOR SEED,
803,SEEDLING TALL FESCUE GROWN FOR SEED,
804,MEADOW BROME GRASS,
805,SMOOTH BROME GRASS,
806,AFRICAN EGGPLANT (TRANSPLANTS),
807,AMUR RIVER GRAPE,
808,ARUGULA,
809,ASPARAGUS (ESTABLISHED FOR ONE OR MORE YEARS),
810,BELL PEPPER (TRANSPLANTS),
811,BROCCOLI RAAB,
812,CHINESE (BOK CHOY) CABBAGE,
813,COLLARDS,
814,CROP GROUP 13-07: BERRY AND SMALL FRUIT (BUSHBERRY),
815,CROP GROUP 14: TREE NUTS,
816,CURRANT TOMATO (TRANSPLANTS),
817,EGGPLANT (TRANSPLANTS),
818,FABABEAN,
819,GARDEN HUCKLEBERRY (TRANSPLANTS),
820,GOJI BERRY (TRANSPLANTS),
821,GROUNDCHERRY (TRANSPLANTS),
822,JUICE GRAPES,
823,KALE,
824,MINT (ESTABLISHED STANDS),
825,MINT (NEW PLANTING),
826,MIZUNA,
827,MUSTARD GREENS,
828,MUSTARD SPINACH,
829,NONBELL PEPPER (TRANSPLANTS),
830,PEA EGGPLANT (TRANSPLANTS),
831,PEPINO (TRANSPLANTS),
832,RAISIN GRAPES,
833,RAPE GREENS,
834,SCARLET EGGPLANT (TRANSPLANTS),
835,STRAWBERRY (ESTABLISHED PLANTINGS),
836,SUNBERRY (TRANSPLANTS),
837,TABLE GRAPES,
838,TAME MUSTARD,
839,TOMATILLO (TRANSPLANTS),
840,TOMATO (TRANSPLANTS),
841,WHEAT DURUM,WHEAT
842,WHEAT SPRING,WHEAT
843,WINE GRAPES,
844,FABA BEAN,
845,MUSTARD (CONDIMENT TYPES),
846,MUSTARD (OILSEED),
847,FIELD-GROWN CONIFERS (INCLUDING CHRISTMAS TREES),
848,CANARYSEED,
849,ORIENTAL MUSTARD (CONDIMENT TYPE),
850,ORIENTAL MUSTARD (CONDIMENT),
851,ORIENTAL MUSTARD (OILSEED),
852,RAPESEED (CANOLA),CANOLA
853,CREEPING RED FESCUE SEEDLING,
854,MEADOW BROMEGRASS SEEDLING,
855,SEEDLING FORAGE LEGUMES,
856,SMOOTH BROMEGRASS SEEDLING,
857,GRAIN CORN,CORN
858,BUILDING,
859,FOOD CROPS,
860,INDUSTRIAL,
861,INTERIORSCAPES,
862,LANDSCAPES,
863,NON-CROP AREAS ON FARMSTEADS,
864,OPEN FIELD AREAS,
865,RIGHTS-OF-WAYS,
866,BROME GRASS,
867,CANARY GRASS (PHALARIS CANARIENSIS),
868,ESTABLISHED TIMOTHY,
869,RUSSIAN WILD RYE,
870,SEEDLING TALL FESCUE,
871,SLENDER WHEAT GRASS,WHEAT
872,TALL WHEAT GRASS,WHEAT
873,ESTABLISHED TIMOTHY GROWN FOR HAY,
874,TIMOTHY GROWN FOR SEED,
875,SOYBEANS (ISOXAFLUTOLE TOLERANT),
876,ISOXAFLUTOLE TOLERANT SOYBEAN,
877,ESTABLISHED TURF,
878,ALFALFA (ESTABLISHED FOR SEED PRODUCTION),
879,ALFALFA (SEEDLING) (FOR SEED PRODUCTION),
880,ALSIKE CLOVER,
881,ESTABLISHED ALFALFA (FORAGE / HAY),
882,RED CLOVER FOR SEED PRODUCTION,
883,SEEDLING ALFALFA (FORAGE / HAY),
884,APPLE,
885,BLUEBERRIES,
886,CHERRY,
887,FORAGE GRASSES (SEEDLING),
888,FORAGE LEGUMES (ESTABLISHED),
889,FORAGE LEGUMES (SEEDLING),
890,NECTARINE,
891,PEACH,
892,PEANUTS,
893,PEAR,
894,SNAP COMMON BEANS,
895,SNOW PEAS,PEAS
896,SPRING WHEAT (INCLUDING DURUM),WHEAT
897, FIELD,
898, SWEET,
899,BENCHES,
900,BUILDINGS,
901,COOLING PADS,
902,CROP GROUP 1 (CANADA GROWN) ROOT AND TUBER VEGETABLES,
903,CROP GROUP 8-09 (CANADA GROWN) FRUITING VEGETABLES,
904,CROP GROUP 9 (CANADA GROWN) CUCURBIT VEGETABLES,
905,CROPS OF GROUP 13-07 (CANADA GROWN) BERRY AND SMALL FRUIT CROP,
906,FIELDS,
907,FLOORS,
908,GRAPES (CULTIVARS AND/OR HYBRIDS),
909,ROOFS,
910,STRUCTURES,
911,WALLS,
912,PERENNIAL RYEGRASS,
913,DRY EDIBLE BEANS (ALL TYPES OF THE SPECIES PHASEOLUS VULGARIS),
914,DRY FABA BEANS,
915,ESTABLISHED ALFALFA FOR FORAGE,
916,ESTABLISHED ALFALFA FOR HAY,
917,ESTABLISHED ALFALFA FOR SEED,
918,ESTABLISHED ALSIKE CLOVER (FOR SEED PRODUCTION ONLY),
919,ESTABLISHED RED CLOVER (FOR SEED PRODUCTION ONLY),
920,ROUNDUP READY SOYBEAN VARIETIES,
921,SEEDLING ALFALFA FOR FORAGE,
922,SEEDLING ALFALFA FOR HAY,
923,SEEDLING ALFALFA FOR SEED,
924,SUCCULENT PEAS,PEAS
925,BROMEGRASS,
926,CORN (GRAIN,CORN
927, SILAGE,
928, SEED),
929,DRY COMMON BEANS (PHASEOLUS VULGARIS ONLY - INCLUDING BUT NOT LIMITED TO: WHITE,
930, KIDNEY,
931, PINTO,
932, PINK,
933, SMALL RED,
934, CRANBERRY AND OTEBO),
935,MOST SNAP COMMON BEANS INCLUDING SNAP BEANS,
936,ORCHARDGRASS,
937,PEAS (FIELD AND PROCESSING),PEAS
938,NEWLY-PLANTED JUNE-BEARING STRAWBERRY VARIETIES (TRANSPLANTED STRAWBERRIES),
939,RESIDENTIAL LAWNS,
940,BARE GROUND IN NON-CROP AREAS OF FARMS,
941,FALLOW CROPLAND,
942,LENTILS LARGE GREEN VARIETIES,
943,LENTILS SMALL RED VARIETIES,
944,CONTAINER GROWN ORNAMENTALS,
945,FLOWER BEDS,
946,GROUND COVER,
947,MATURE TREES,
948,NON-FOOD/ORNAMENTALS,
949,NURSERY ORNAMENTAL STOCK,
950,SHELTER BELTS,
951,TRANSPLANTED ORNAMENTALS,
952,WOODY ORNAMENTALS,
953, NON-FOOD NURSERIES,
954,ALL NON-FOOD CROPS GREENHOUSE,
955,ANISE,
956,AROUND BUILDING STRUCTURES,
957,BEDDING PLANTS,
958,BLACK CURRANTS,
959,BLACKBERRIES,
960,BLUEBERRIES (INCLUDING LOWBUSH BLUEBERRIES),
961,CEREAL GRAINS,
962,CHERRIES,
963,CHIVE,
964,CHRISTMAS TREES,
965,COMMERCIAL TREES,
966,CRABAPPLES,
967,FALLOW LAND NON-FOOD CROPS,
968,FENNEL,
969,FLOWERS,
970,FOREST TREES,
971,GARBANZO,
972,GARLIC,
973,GOOSEBERRIES,
974,GOURDS,
975, FRENCH HYBRIDS,
976, NATIVE LAMBRUSCA TYPES,
977,HAZELNUTS (FILBERTS),
978,LANDSCAPE TREES,
979,LEEKS,
980,NURSERY TREES,
981,OREGANO,
982,ORNAMENTALS NON-AGRICULTURAL,
983,PEPPERS (ALL VARIETIES),
984,PLANTS NON-FOOD GREENHOUSE,
985,PLANTS NON-FOOD NURSERIES,
986,PRUNES,
987,PUMPKINS,
988,QUINCE,
989,RADISHES,
990,RED CURRANTS,
991,SEED POTATO,
992,SHALLOTS,
993,SHRUBS,
994,SQUASH,
995,SWEET POTATOES,
996,TOMATILLOS,
997,TURF GRASS (MAINTENANCE),
998,TURF GRASS (SEED PRODUCTION),
999,TURF GRASS (SOD PRODUCTION),
1000,TURF NON-AGRICULTURAL,
1001,UNCULTIVATED LAND,
1002,CORN (FIELD),CORN
1003,POSTHARVEST/FALL BURNDOWN WEED CONTROL,
1004,RYE (FALL),
1005,RYE (SPRING),
1006,WHEAT (WINTER),WHEAT
1007,CEREALS,
1008,FORAGE GRASSES INCLUDING SEED PRODUCTION,
1009,FORAGE LEGUMES,
1010,FORAGE LEGUMES INCLUDING SEED PRODUCTION,
1011,TURFGRASS,
1012,FLAX INCLUDING LOW LINOLENIC ACID VARIETIES,
1013,SILAGE CORN,CORN
1014,TURF SOD FARMS,
1015,CHICKPEAS DESI TYPE,
1016,CHICKPEAS KABULI TYPE,
1017,SUMMERFALLOW ROTATED WITH SPRING WHEAT (INCLUDES SEMI-DWARF) AND DURUM WHEAT,
1018,ASPARAGUS: (ESTABLISHED THREE YEARS),
1019,BIRD'S-FOOT TREFOIL,
1020,BRUSSEL SPROUTS,
1021,FALL SEEDED RYE,
1022,FALL SEEDED WHEAT,WHEAT
1023,FIELD BEANS,
1024,SNAPBEANS,
1025,STUBBLE WHITE TURNIPS,
1026,SWEETCLOVER,
1027,TRIAZINE TOLERANT RAPESEED (CANOLA),CANOLA
1028, SEEDLING GRASSES GROWN FOR SEED,
1029, SEEDLING GRASSES  GROWN FOR SEED,
1030,MEADOW FESCUE SEEDLING GRASSES  GROWN FOR SEED,
1031,REED CANARY GRASS SEEDLING GRASSES,
1032, GROWN FOR SEED,
1033,RUSSIAN WILD RYE SEEDLING GRASSES GROWN FOR SEED,
1034,SEEDLING MEADOW BROMEGRASS GROWN FOR SEED,
1035,SEEDLING STREAMBANK WHEATGRASS GROWN FOR SEED PRODUCTION,WHEAT
1036,SEEDLING TALL FESCUE GROWN FOR SEED PRODUCTION,
1037, SEEDLING GRASSES  GROWN FOR SEED PRODUCTION,
1038, ESTABLISHED,
1039,TALL WHEAT GRASS SEEDLING GRASSES  GROWN FOR SEED PRODUCTION,WHEAT
1040,TIMOTHY SEEDLING GRASSES GROWN FOR SEED PRODUCTION,
1041,AMUR MAPLE (ACER GINNALA),
1042,BLUE SPRUCE (PICEA PUNGENS),
1043,BOXWOOD TREE (BUXUS SEMPERVIRENS),
1044,CREEPING JUNIPER (JUNIPERUS HORIZONTALIS),
1045,EASTERN WHITE CEDAR (THUJA OCCIDENTALIS),
1046,JAPANESE MAPLE (ACER PALMATUM),
1047,RED OAK (QUERCUS RUBRA),
1048,SABIN JUNIPER (JUNIPERUS SABINA),
1049,WHITE SPRUCE (PICEA GLAUCA),
1050,YEW (TAXUS X MEDIA),
1051,HYBRID FIELD CORN,CORN
1052,ALFALFA (ESTABLISHED),
1053,ALFALFA (SEEDLING),
1054,BARLEY MINIMUM OR ZERO TILL,BARLEY
1055,CANARY GRASS,
1056,OATS MINIMUM OR ZERO TILL,
1057,ONION,
1058,WHEAT MINIMUM OR ZERO TILL,WHEAT
1059,ESTABLISHED ALFALFA,
1060,GRAIN PEARL MILLET,
1061,GRAIN SORGHUM,
1062,ESTABLISHED TIMOTHY GROWN FOR SEED,
1063,BROME GRASS (SEED PRODUCTION),
1064,CARROT  (GROWN ON MUCK SOIL),
1065,CREEPING RED FESCUE (SEED PRODUCTION),
1066,CRESTED WHEAT GRASS (SEED PRODUCTION),WHEAT
1067,INTERMEDIATE WHEAT GRASS (SEED PRODUCTION),WHEAT
1068,MEADOW FESCUE (SEED PRODUCTION),
1069,ORCHARD GRASS (SEED PRODUCTION),
1070,REED CANARY GRASS (SEED PRODUCTION),
1071,RUSSIAN WILD RYE (SEED PRODUCTION),
1072,SLENDER WHEAT GRASS (SEED PRODUCTION),WHEAT
1073,TALL WHEAT GRASS (SEED PRODUCTION),WHEAT
1074,TIMOTHY (SEED PRODUCTION),
1075,DRYLAND WINTER WHEAT (NORSTAR ONLY),WHEAT
1076,PLUM,
1077,PROCESSING CARROTS,
1078,PROCESSING PEAS,PEAS
1079,SHELTERBELTS CARAGANA,
1080,SHELTERBELTS CHOKECHERRY,
1081,SHELTERBELTS GREEN ASH,
1082,SHELTERBELTS POPLAR,
1083,SHELTERBELTS SASKATOON BERRY,
1084,SHELTERBELTS SEA-BUCKTHORN,
1085,SHELTERBELTS VILLOSA LILAC,
1086,SOUR CHERRY TREES,
1087,SWEET CHERRY TREES,
1088,TRANSPLANTED TOMATOES (GROWN FOR PROCESSING ONLY) - EASTERN CANADA,
1089,ALFALFA PASTURE,
1090,PASTURE CONTAINING FORAGE LEGUMES,
1091,SEEDLING CLOVERS,
1092,SEEDLING GRASSES FOR FORAGE,
1093,GLYPHOSATE TOLERANT FIELD CORN GRAIN/STOVER,CORN
1094,FIELD CUCUMBERS,
1095,MELONS (MUSKMELONS WATERMELONS),
1096,PROCESSING PUMPKINS,
1097,CANOLA (GLYPHOSATE TOLERANT),CANOLA
1098,CORN (GLYPHOSATE TOLERANT),CORN
1099,FORAGE SEED FIELDS,
1100,SOYBEAN (GLYPHOSATE TOLERANT),
1101,ARBORVITAE,
1102,ASH,
1103,BARBERRY,
1104,BOXWOOD,
1105,CARAGANA,
1106,CEDAR (EASTERN RED),
1107,CEDAR (WHITE),
1108,CRABAPPLE,
1109,CURRANTS (RED AND BLACK),
1110,CUT LEAF WEEPING BIRCH,
1111,ELM,
1112,EUONYMUS,
1113,FORSYTHIA SP.,
1114,HEATHER,
1115,HIGH BUSH BLUEBERRIES,
1116,HOLLY (ILEX SPP.),
1117,HONEYSUCKLE,
1118,JUNIPER,
1119,JUNIPER (JUNIPERUS CHINENSIS),
1120,JUNIPER (JUNIPERUS HORIZONTALIS),
1121,LILAC,
1122,LINDEN,
1123,LOCUST,
1124,MAPLE,
1125,MINERAL SOILS,
1126,MOCK ORANGE,
1127,POPLAR,
1128,POPLARS,
1129,RASPBERRIES (INCLUDING RED AND BLACK),
1130,RHODODENDRON,
1131,ROSE,
1132,SASKATOONS,
1133,SPIREA,
1134,WILLOW,
1135,YEW (TAXUS),
1136,INDUSTRIAL AREAS OF CANADA,
1137,OTHER NON-CROP AREAS OF CANADA,
1138,PERMANENT PASTURE,
1139,SEEDLING AND ESTABLISHED FORAGE GRASSES,
1140,SEEDLING AND ESTABLISHED TALL FESCUE,
1141,IMAZAMOX-TOLERANT CANOLA,CANOLA
1142,IMAZAMOX-TOLERANT CANOLA QUALITY BRASSICA JUNCEA,
1143,IMAZAMOX-TOLERANT LENTILS,
1144,IMAZAMOX-TOLERANT SUNFLOWERS,
1145,DRY FABA BEANS (DRY BROAD BEANS),
1146,ANGELICA,
1147, BALM (LEMON BALM),
1148, BASIL,
1149, BORAGE,
1150, BURNET,
1151, CHAMOMILE,
1152, CATNIP,
1153, CHERVIL,
1154, CLARY,
1155, COSTMARY,
1156, CULANTRO (LEAF),
1157, HOREHOUND,
1158, HYSSOP,
1159, LAVENDER,
1160, LOVAGE,
1161, MARIGOLD,
1162, MARJORAM (INCLUDES SWEET OR ANNUAL MARJORAM,
1163, WILD MARJORAM OR OREGANO AND POT MARJORAM),
1164, NASTURTIUM,
1165, PARSLEY (DRIED),
1166, PENNYROYAL,
1167, ROSEMARY,
1168, RUE,
1169, SAGE,
1170, SAVORY,
1171, SUMMER AND WINTER,
1172, SWEET BAY (BAY LEAF),
1173, TANSY,
1174, TARRAGON,
1175, THYME,
1176, WINTERGREEN,
1177, WOODRUFF,
1178, WORMWOOD,
1179,ANISE (ANISE SEED),
1180, CARAWAY (BLACK),
1181, CELERY SEED,
1182, CULANTRO (SEED),
1183, CUMIN,
1184, FENNEL [COMMON AND FLORENCE (SEED)],
1185, JUNIPER BERRY,
1186, LOVAGE (SEED),
1187, MUSTARD (SEED),
1188, POPPY (SEED),
1189, AND SAFFRON,
1190,BRASSICA CARINATA,
1191,CORIANDER (CILANTRO),
1192,DRIED SHELLED PEA AND BEAN (CROP SUBGROUP 6C) (EXCEPT SOYBEAN,PEAS
1193, FIELD PEA,PEAS
1194, LENTILS,
1195, PIGEON PEA) INCLUDING: BEAN (LUPINUS SPP.) (INCLUDES GRAIN LUPIN,PEAS
1196, WHITE SWEET LUPIN),
1197, BEAN (PHASEOLUS SPP.) (INCLUDES FIELD BEAN,
1198, LIMA BEAN,
1199, BEAN (VIGNA SPP.) (INCLUDES ADZUKI BEAN,
1200, CROWDER PEA,
1201, BROAD BEAN (FAVA BEAN) (VICIA FABA),
1202, CHICKPEA (GARBANZO BEAN) (CICER ARIETINUM),
1203, GUAR (CYAMOPSIS TETRAGONOLOBA),
1204, LABLAB BEAN (HYACINTH BEAN) (LABLAB PURPUREUS),
1205,DRY BULB ONION,
1206,DRY BULB SHALLOT,
1207,EDAMAME,
1208, EDIBLE-PODDED LEGUME VEGETABLES (CROP SUBGROUP 6A) (EXCLUDING PIGEON PEA AND SOYBEAN): BEAN (PHASEOLUS SPP.) (INCLUDES RUNNER BEAN,PEAS
1209, SNAP BEAN,
1210, WAX BEAN),
1211, BEAN (VIGNA SPP.) (INCLUDES ASPARAGUS BEAN,
1212, CHINESE LONGBEAN,
1213, YARDLONG BEAN),
1214, JACKBEAN (CANAVALIA ENSIFORMIS),
1215, PEA (PISUM SPP.) (INCLUDES DWARF PEA,PEAS
1216, EDIBLE-POD PEA,PEAS
1217, SNOW PEA,PEAS
1218, SUGAR SNAP PEA),PEAS
1219, SWORD BEAN (CANAVALIA GLADIATA),
1220,ESTABLISHED SWEET CHERRY TREES,
1221,ESTABLISHED TART CHERRY TREES,
1222,FIELD PEA,PEAS
1223,"GARLIC	",
1224,LENTIL,
1225,PIGEON PEA,PEAS
1226,RED GARDEN (,
1227,ADZUKI BEAN,
1228,BALM (LEMON BALM),
1229,BEAN (LUPINUS SPP.),
1230,BEAN (PHASEOLUS SPP.),
1231,BEAN (VIGNA SPP.),
1232,BLACKEYED PEA,
1233,BORAGE,
1234,BROAD BEAN (FAVA BEAN) (VICIA FABA),
1235,BURNET,
1236,CARAWAY (BLACK),
1237,CATJANG,
1238,CATNIP,
1239,CELERIAC,
1240,CELERY SEED,
1241,CHAMOMILE,
1242,CHERRY  (TART) (ESTABLISHED TREES),
1243,CHERRY (SWEET) (ESTABLISHED TREES),
1244,CHERVIL,
1245,CHICKPEA (GARBANZO BEAN) (CICER ARIETINUM),
1246,CHINESE CABBAGE (NAPA),
1247,CLARY,
1248,COSTMARY,
1249,CROP SUBGROUP 6A: EDIBLE-PODDED LEGUME VEGETABLES,
1250,CROP SUBGROUP 6B: SUCCULENT SHELLED PEA AND BEAN,PEAS
1251,CROWDER PEA,
1252,CULANTRO (LEAF),
1253,CULANTRO (SEED),
1254,CUMIN,
1255,FENNEL [COMMON AND FLORENCE (SEED)],
1256,FIELD BEAN,
1257,GRAIN LUPIN,
1258,GREEN ONION,
1259,GUAR (CYAMOPSIS TETRAGONOLOBA),
1260,HOREHOUND,
1261,HYSSOP,
1262,JUNIPER BERRY,
1263,KIDNEY BEAN,
1264,LABLAB BEAN (HYACINTH BEAN) (LABLAB PURPUREUS),
1265,LAVENDER,
1266,LEEK,
1267,LIMA BEAN (DRY),
1268,LOVAGE,
1269,LOVAGE (SEED),
1270,MARIGOLD,
1271,MARJORAM (INCLUDES SWEET OR ANNUAL MARJORAM,
1272,MOTH BEAN,
1273,MUNG BEAN,
1274,MUSTARD (SEED),
1275,NASTURTIUM,
1276,NAVY BEAN,
1277,PARSLEY (DRIED),
1278,PENNYROYAL,
1279,PINTO BEAN,
1280,POPPY (SEED),
1281,RICE BEAN,
1282,ROSEMARY,
1283,RUE,
1284,SAFFRON,
1285,SAGE,
1286,SPICES,
1287,SUMMER SAVORY,
1288,SWEET BAY (BAY LEAF),
1289,SWEET LUPIN,
1290,TANSY,
1291,TARRAGON,
1292,TEPARY BEAN,
1293,THYME,
1294,URD BEAN,
1295,WHITE LUPIN,
1296,WHITE SWEET LUPIN,
1297,WINTER SAVORY,
1298,WINTERGREEN,
1299,WOODRUFF,
1300,WORMWOOD,
1301,ANNUAL CANARYGRASS GROWN FOR HUMAN CONSUMPTION,
1302,CANOLA (ALL TYPES,CANOLA
1303, INCLUDING LIBERTY LINK,
1304, CLEARFIELD,
1305, ROUNDUP READY AND CONVENTIONAL),
1306,CORN (POP),CORN
1307,CORN FIELD,CORN
1308,FALLOW,
1309,LUPINS,
1310,DRY BEAN,
1311,LUPIN,
1312,SPRING WHEAT INCLUDING DURUM,WHEAT
1313,IN FALLOW,
1314,POST-HARVEST,
1315,BROCCOLI (TRANSPLANTED),
1316,CASHEW,
1317,CROP GROUP 13-07A: CANEBERRIES,
1318,FARM BARE GROUND NON-CROP AREAS,
1319,FIELD PEPPER,
1320,FILBERT [HAZELNUT],
1321,GINKO,
1322,HEART NUT,
1323,JUICE,
1324, RAISIN / WINE GRAPES,
1325,MONKEY PUZZLE,
1326,PEPPERMINT ESTABLISHED,
1327,PINE NUTS,
1328,SPEARMINT ESTABLISHED,
1329,SWEET POTATO,
1330,WALNUT BLACK,
1331,WALNUT ENGLISH,
1332,YELLOWHORN,
1333,BARE GROUND NON-CROP AREAS,
1334,MINT (PEPPERMINT),
1335,MINT (SPEARMINT),
1336,POME FRUIT,
1337,STONE FRUIT,
1338,SWEET POTATO (BEAUREGARD),
1339,WALNUT [BLACK],
1340,WALNUT [ENGLISH],
1341,GRAPE (WINE),
1342,LOWBUSH BLUBERRY,
1343,FOREST VEGETATION,
1344,RIGHTS-OF WAY,
1345, NOT UNDERSEEDED WITH LEGUMES,
1346,SPRING WHEAT (INCLUDING DURUM) NOT UNDERSEEDED WITH LEGUMES,WHEAT
1347,TURF (GOLF COURSES),
1348,TURF (LAWNS),
1349,TURF (PARKS),
1350,SOYBEAN GLYPHOSATE TOLERANT,
1351,GLUFOSINATE AMMONIUM TOLERANT CORN VARIETIES OR HYBRIDS,CORN
1352,MILITARY BASES,
1353,SULFONYLUREA (SU) TOLERANT CANOLA,CANOLA
1354, SUMMER / WINTER SAVORY,
1355,  WORMWOOD,
1356,CHERRY (TART),
1357, WHITE LUPIN AND WHITE SWEET LUPIN),
1358,BROWN TAME MUSTARD,
1359,CANOLA (BRASSICA NAPUS  ALL VARIETIES CANOLA (INCLUDING CONVENTIONAL,CANOLA
1360, LIBERTYLINK AND ROUNDUP READY),
1361,CLEARFIELD CANOLA QUALITY BRASSICA JUNCEA (E.G. CANOLA QUALITY BRASSICA JUNCEA VARIETIES WITH THE CLEARFIELD TRAIT),
1362,LIBERTY LINK CANOLA,CANOLA
1363,ORIENTAL TAME MUSTARD,
1364,ROUNDUP READY CANOLA,CANOLA
1365,WHEAT (CANADA WESTERN EXTRA STRONG),WHEAT
1366,WHEAT (CANADIAN PRAIRIE SPRING),WHEAT
1367,WHEAT (HARD RED SPRING),WHEAT
1368,BEARING APPLES,
1369,NON-BEARING APPLES,
1370,POPLAR (POPULUS) SPECIES,
1371,POPLAR HYBRID SPECIES,
1372,TIMOTHY (SEEDLING,
1373,NEW / ESTABLISHED SHORT ROTATION INTENSIVE CULTURE CROPS OF POPLAR (POPULUS) SPECIES,
1374,POPLAR CLONES/HYBRIDS,
1375,TIMOT,
1376,BARLEY (NOT UNDERSEEDED WITH LEGUMES),BARLEY
1377,CONIFERS (FOREST SITE PREPARATION),
1378,ESTABLISHED GRASS CROPS (SEED PRODUCTION),
1379,ESTABLISHED GRASSES (FORAGE PRODUCTION (HAY OR PASTURE CROPS),
1380,ESTABLISHED PASTURE (WITHOUT LEGUMES),
1381,ESTABLISHED RANGELAND (WITHOUT LEGUMES),
1382,FIR (CONIFER RELEASE),
1383,GOLF COURSES (FAIRWAYS),
1384,GOLF COURSES (ROUGHS),
1385,HEMLOCK (CONIFER RELEASE),
1386,PINE (CONIFER RELEASE),
1387,RYE (NOT UNDERSEEDED WITH LEGUMES),
1388,SPRUCE (CONIFER RELEASE),
1389,WHEAT (NOT UNDERSEEDED WITH LEGUMES),WHEAT
1390,FLAX LOW LINOLENIC ACID VARIETIES,
1391,ALFALFA ESTABLISHED,
1392,MINIMUM / ZERO TILL  IN BARLEY,BARLEY
1393,MINIMUM / ZERO TILL  IN OATS,
1394,MINIMUM / ZERO TILL  IN WHEAT,WHEAT
1395,SUMMER FALLOW,
1396,ETHIOPIAN MUSTARD (BRASSICA CARINATA),
1397,TRIBENURON-METHYL TOLERANCT SUNFLOWERS (2-8 LEAF STAGE),
1398,BROMEGRASS (SEEDLING AND ESTABLISHED) GROWN FOR SEED,
1399,HYBRID BROMEGRASS  (SEEDLING / ESTABLISHED) GROWN FOR SEED,
1400,MEADOW BROMEGRASS (SEEDLING / ESTABLISHED) GROWN FOR SEED,
1401,SMOOTH BROMEGRASS (SEEDLING / ESTABLISHED) GROWN FOR SEED,
1402,FORAGE LEGUMES (ALFALFA,
1403,MIXED GRAIN,
1404,TALL FESCUE GROWN FOR SEED (SEEDLING AND ESTABLISHED),
1405,RED GARDEN,
1406,BROAD BEAN (FAVA BEAN)  (VICIA FABA),
1407,CHERRY (TART) (ESTABLISHED TREES),
1408,COWPEA,
1409,PRAIRIE CARNATIONS,
1410,CANARYSEED (PHALARIS CANARIENSIS),
